sample_index,publication_id,reference_id,reference_order,parsed_title,parsed_journal,parsed_year,parsed_authors,parser,crossref_query,context
8048,1316709,23188610,21,Enflasyon düzeltmesinin gerekliliği enflasyon muhasebesinin uygulanabilirliği ve muhasebeciler üzerinde yapılan bir araştırma: Karaman Örneği,Selçuk Üniversitesi Sosyal Bilimler Meslek Yüksekokulu Dergisi,2004,"İleri, H",apa,"Enflasyon düzeltmesinin gerekliliği enflasyon muhasebesinin uygulanabilirliği ve muhasebeciler üzerinde yapılan bir araştırma: Karaman Örneği İleri, H Selçuk Üniversitesi Sosyal Bilimler Meslek Yüksekokulu Dergisi 2004","İleri, H. ve Altınışık, İ. (2004). Enflasyon düzeltmesinin gerekliliği enflasyon muhasebesinin uygulanabilirliği ve muhasebeciler üzerinde yapılan bir araştırma: Karaman Örneği. Selçuk Üniversitesi Sosyal Bilimler Meslek Yüksekokulu Dergisi, 7(1-2), 39-52."
8049,1316709,23188617,28,Muhasebe dersine yönelik tutumların bireysel ve bölümsel farklılıklarının belirlenmesi: Mersin Üniversitesi örneği,Çağ Üniversitesi Sosyal Bilimler Dergisi,2020,"Kurtlar, M",apa,"Muhasebe dersine yönelik tutumların bireysel ve bölümsel farklılıklarının belirlenmesi: Mersin Üniversitesi örneği Kurtlar, M Çağ Üniversitesi Sosyal Bilimler Dergisi 2020","Kurtlar, M. ve Yıldız, E. (2020). Muhasebe dersine yönelik tutumların bireysel ve bölümsel farklılıklarının belirlenmesi: Mersin Üniversitesi örneği. Çağ Üniversitesi Sosyal Bilimler Dergisi, 17(2), 52-67."
8065,1314638,23058960,16,Türkiye'de lojistik eğitiminin durumu ve lojistik eğitiminin geliştirilmesine yönelik öneriler,Recep Tayyip Erdoğan Üniversitesi Sosyal Bilimler Dergisi,2016,"Çıkmak, S",apa,"Türkiye'de lojistik eğitiminin durumu ve lojistik eğitiminin geliştirilmesine yönelik öneriler Çıkmak, S Recep Tayyip Erdoğan Üniversitesi Sosyal Bilimler Dergisi 2016","Çıkmak, S. (2016). Türkiye'de lojistik eğitiminin durumu ve lojistik eğitiminin geliştirilmesine yönelik öneriler. Recep Tayyip Erdoğan Üniversitesi Sosyal Bilimler Dergisi, 2(3), 1-13."
8066,1250370,20100281,14,2010-2015 yılları arasında kan kültürlerinde üreyen mikroorganizmalar ve antibiyotik duyarlılıkları,KLİMİK Dergisi,2016,"Şafak B, Kılınç O",vancouver,"2010-2015 yılları arasında kan kültürlerinde üreyen mikroorganizmalar ve antibiyotik duyarlılıkları Şafak B, Kılınç O KLİMİK Dergisi 2016","14. Şafak B, Kılınç O. 2010-2015 yılları arasında kan kültürlerinde üreyen mikroorganizmalar ve antibiyotik duyarlılıkları. KLİMİK Dergisi. 2016;29(2):60-4."
8069,1371871,25499607,8,,,2012,,unparsed,,"Bozbora, N. (2012). Failures and achievements of Albanian nationalism in the era of nationalism, Balkan Araştırma Enstitüsü Dergisi, 1(1), 3-22."
8075,1258957,20465734,47,The effects of parental monitoring and leisure boredom on adolescents' Internet addiction,Internet Addiction Adolescence,2009,"Lin, C.-H., Lin, S.-L., & Wu, C.-P",apa,"The effects of parental monitoring and leisure boredom on adolescents' Internet addiction Lin, C.-H., Lin, S.-L., & Wu, C.-P Internet Addiction Adolescence 2009","Lin, C.-H., Lin, S.-L., & Wu, C.-P. (2009). The effects of parental monitoring and leisure boredom on adolescents' Internet addiction. Internet Addiction Adolescence, 44(176), 993-1004."
8078,1263833,20675420,17,Math and science in preschool: Policies and practice,Preschool Policy Brief,2009,"Brenneman, K., Stevenson-Boyd, J",apa,"Math and science in preschool: Policies and practice Brenneman, K., Stevenson-Boyd, J Preschool Policy Brief 2009","Brenneman, K., Stevenson-Boyd, J. & Frede, E. C. (2009). Math and science in preschool: Policies and practice. Preschool Policy Brief, 19, 1-12."
8084,1273140,21075625,15,A literature review on the causality test applications about Türkiye,Social Sciences Research Journal,2015,"Engeloglu O, Meral IG, Genc K",vancouver,"A literature review on the causality test applications about Türkiye Engeloglu O, Meral IG, Genc K Social Sciences Research Journal 2015","15. Engeloglu O, Meral IG, Genc K. A literature review on the causality test applications about Türkiye. Social Sciences Research Journal. 2015;4(2):142-154."
8097,1270975,21106325,11,Suriye İç Savaşı: Savaşın Yarattığı Mültecilik Akınının Türkiye ve Avrupa Birliği’ne Yansımaları,Türkiye Siyaset Bilimi Dergisi,2018,"Bozkurt, K",apa,"Suriye İç Savaşı: Savaşın Yarattığı Mültecilik Akınının Türkiye ve Avrupa Birliği’ne Yansımaları Bozkurt, K Türkiye Siyaset Bilimi Dergisi 2018","Bozkurt, K. (2018). Suriye İç Savaşı: Savaşın Yarattığı Mültecilik Akınının Türkiye ve Avrupa Birliği’ne Yansımaları. Türkiye Siyaset Bilimi Dergisi, 1(1), 57-70."
8099,1218161,19068717,27,The factors that affect exclusive breastfeeding status,J Child Ped,2009,"Kondolot M, Songül Yalçin S, Yurdakök K",vancouver,"The factors that affect exclusive breastfeeding status Kondolot M, Songül Yalçin S, Yurdakök K J Child Ped 2009","27.Kondolot M, Songül Yalçin S, Yurdakök K. The factors that affect exclusive breastfeeding status. J Child Ped 2009;52(3):122-7."
