sample_index,publication_id,reference_id,reference_order,target_publication_id,reference_year,reference_journal_code,reference_authors,source_doi,hidden_doi,trdizin_status,target_doi,target_crossref_status,target_crossref_doi,target_title,target_year,target_journal,target_journal_code,target_issn,target_eissn,target_doc_type,request_error,context
6848,1336140,24067104,55,301374,2018,627,Seher ARIKAN TEZERGİL,,,strong_trdizin_id,,no_doi,,ARACIKURUMLARIN FİNANSAL PERFORMANSLARININ TOPSİS YÖNTEMİ İLE İNCELENMESİ,2018,Mali Çözüm,627,1303-5444,,PAPER,,"Tezergil, S. A. (2018). Aracı kurumların finansal performanslarının Topsis yöntemi ile incelenmesi. Mali Çözüm Dergisi, 28, 43-58."
6996,1270301,20940455,6,299413,2018,600,Kadir ARSLANBOĞA,,,strong_trdizin_id,,no_doi,,OSMANLIDEVLETİʼNDE VAKIF YÖNETİMİNDE TEVLİYET: İSTANBUL ÖRNEĞİ,2018,Yönetim Bilimleri Dergisi,600,1304-5318,2147-9771,PAPER,,"Arslanboğa, K. (2018). Osmanlı Devletiʼnde Vakıf Yönetiminde Tevliyet: İstanbul Örneği. Yönetim Bilimleri Dergisi, 16 (32), 551-558. [CrossRef]"
7010,1269706,21475308,17,229927,2010,356,Yasemin GÜNAY; Oğuz ÇETİN,,,strong_trdizin_id,,no_doi,,FENEĞİTİMİNDE WEB TABANLI ÖĞRETİMİN ÖĞRENCİLERİN AKADEMİK BAŞARILARINA VE TUTUMLARINA ETKİSİ,2010,Çukurova Üniversitesi Eğitim Fakültesi Dergisi,356,1302-9967,,PAPER,,"Çetin, O., & Günay, Y. (2010).  Fen eğitiminde web tabanlı eğitimin akademik başarılarına ve tutumlarına etkisi. Çukurova Üniversitesi Eğitim Fakültesi Dergisi, 3(38), 19-34."
7025,1265221,20717847,1,210803,2016,995,Uğur BASTIK; Özkan AKMAN,,,strong_trdizin_id,,no_doi,,SosyalBilgiler Ders Kitaplarında İhtilaflı Konular İçerisinde Yer Alan 'Aile' Kavramının İncelenmesi: Bir İçerik Analizi,2016,Trakya Üniversitesi Eğitim Fakültesi Dergisi,995,2146-071X,,PAPER,,"Akman, Ö. & Bastık, U. (2016). Sosyal Bilgiler Ders Kitaplarında İhtilaflı Konular İçerisinde Yer Alan 'Aile' Kavramının İncelenmesi: Bir İçerik Analizi. Trakya Üniversitesi Eğitim Fakültesi Dergisi, 6(2), 247-263."
7030,1325895,23628454,2,106350,2010,1339,Seda ÖZKAN; Alper VARDAR; İbrahim İKİZCELİ; Sebahattin GEYİK; Okhan AKDUR; Polat DURUKAN; Şebnem KILIÇ,,,strong_trdizin_id,,no_doi,,Occupationalinjuries admitted to the emergency department,2010,Ulusal Travma ve Acil Cerrahi Dergisi,1339,1306-696X,1307-7945,PAPER,,"Ozkan S, Kiliç S, Durukan P, et al. Occupational injuries admitted to the emergency department. Ulus Travma Acil Cerrahi Derg. 2010;16:241-7."
7032,1325895,23628467,15,92846,2009,5,Varol Gamze SARAÇOĞLU; BEDRİYE ÖNCÜ ÇETİNKAYA; Sultan DOĞAN; Suat KÜÇÜKGÖNCÜ,,,strong_trdizin_id,,no_doi,,Erişkindikkat eksikliği hiperaktivite bozukluğu kendi bildirim ölçeği (ASRS-v1.1): Türkçe formunun geçerlilik ve güvenilirliği,2009,Anadolu Psikiyatri Dergisi,5,1302-6631,,PAPER,,"Doğan S, Öncü B, Varol S, Küçükgöncü S. Validity and reliability of the Turkish version of the Adult ADHD self-report scale (ASRS-v1.1). Anadolu Psikiyatri Dergisi. 2009;10:77-87."
7049,1179619,16849045,5,84546,2007,387,Recai COŞTUR; Umut AL,,,strong_trdizin_id,,no_doi,,TürkPsikoloji Dergisi'nin Bibliyometrik Profili,2007,Türk Kütüphaneciliği,387,1300-0039,2147-9682,PAPER,,"5. Umut AL, Coştur R. Türk Psikoloji Dergisi’nin bibliyometrik profili. Türk Kütüphaneciliği 2007:21(2):142-163."
7194,1320152,23381820,19,186628,2014,626,Pınar BACAKSIZ,,,strong_trdizin_id,,no_doi,,CEZALANDIRMAVE TOPLUMA YENİDEN KAZANDIRMA,2014,Dokuz Eylül Üniversitesi Hukuk Fakültesi Dergisi,626,1303-6963,2587-1870,PAPER,,"BACAKSIZ, P. (2014). Cezalandırma ve Topluma Yeniden Kazandırma. Prof. Dr. Hakan PEKCANITEZ’e Armağan, DEÜHFD, 16(Özel Sayı), 4917-4941."
7232,1310301,23743000,28,304677,2018,910,Hatice Selin IRMAK; Taner ARTAN,,,strong_doi_crossref,10.17681/hsp.370597,ok,10.17681/hsp.370597,FeministGerontoloji Bağlamında Yaşlılığın Kadınsallaşması,2018,Sağlık Bilimleri ve Meslekleri Dergisi /Journal of Health Sciences and Professions,910,2148-7588,,PAPER,,"Irmak, H. S., ve Artan, T. (2018). Feminist Gerontoloji Bağlamında Yaşlılığın Kadınsallaşması. Sağlık Bilimleri ve Meslekleri Dergisi, 5(2), 236-243."
7257,1347571,24511390,6,1219786,2023,2606,Vildan BAYRAM; Mesut ÖZTIRAK,,,strong_trdizin_id,,no_doi,,Yeşilİş Etiği: Bir Ölçek Geliştirme Çalışması,2023,Journal of emerging economies and policy (Online),2606,,2651-5318,PAPER,,"Bayram, V., & Öztırak, M. (2023). Yeşil iş etiği: Bir ölçek geliştirme çalışması. Journal of Emerging Economies and Policy, 8(2), 124-135."
7275,1209441,18360865,22,119532,2011,552,Duygu ÇAMURCU,,,strong_trdizin_id,,no_doi,,YüksekÖğrenimine Yeni Başlayan Türkçe Eğitimi Bölümü Öğrencilerinin Yazma Becerilerinin İncelenmesi,2011,Türkiyat Araştırmaları Dergisi,552,1300-5766,,PAPER,,"Çamurcu, D. (2011). Yükseköğrenimine yeni başlayan Türkçe eğitimi bölümü öğrencilerinin yazma becerilerinin incelenmesi. Selçuk Üniversitesi Türkiyat Araştırmaları Dergisi, 29, 503-518"
7323,1299253,22332628,2,419474,2021,545,Uğur YAVUZ; İsmail AKGÜL,,,strong_trdizin_id,,no_doi,,ÖrtülüBilgi Paylaşımı ile Çalışan Yaratıcılığı Arasındaki İlişkide Algılanan Örgütsel Desteğin Aracı Rolü,2021,Atatürk Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,545,1304-4990,,PAPER,,"Akgül, İ., & Yavuz, U. (2021). Örtülü bilgi paylaşımı ile çalışan yaratıcılığı arasındaki ilişkide algılanan örgütsel desteğin aracı rolü. Atatürk Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, 25(1), 193-213."
7328,1335832,24055896,19,141162,2012,71,Serir ÖZKAN AKTOĞU; Can BİÇMEN; Talat ECEMİŞ; Süheyla SÜRÜCÜOĞLU; Semra KURUTEPE; Pınar ÇELİK; Aylin ÖZGEN ALPAYDIN,,,strong_trdizin_id,,no_doi,,Toplumkökenli Pnömonisi olan erişkin hastalarda konvansiyonel ve multipleks PCR yöntemleriyle bakteriyel etiyolojinin araştırılması,2012,Mikrobiyoloji Bülteni,71,0374-9096,,PAPER,,"Kurutepe S, Ecemiş T, Özgen A, Biçmen C, Çelik P, Aktoğu Özkan S. Toplum kökenli pnömonisi olan erişkin hastalarda konvansiyonel ve multipleks PCR yöntemleriyle bakteriyel etiyolojinin araştırılması. Mikrobiyol Bul. 2012;46(4):523-31."
7332,1171714,16969875,25,335247,2019,469,Derya KOÇAK BIÇAK; Ayşe Ottekin DEMİRBOLAT,,,strong_trdizin_id,,no_doi,,OkulPsikolojik Danışmanların Okul Yöneticileri ve Öğretmenlerden Beklentileri,2019,Türk Eğitim Bilimleri Dergisi,469,1303-8451,2459-1912,PAPER,,"Koçak Bıçak, D. ve Ottekin Demirbolat, A. (2019). Okul psikolojik danışmanların okul yöneticileri ve öğretmenlerden beklentileri. Türk Eğitim Bilimleri Dergisi, 17(2), 236-357."
7339,1186055,17199827,11,148502,2013,1445,Selçuk AVDEREN; Recep ÇİÇEK,,,strong_trdizin_id,,no_doi,,Sağlıkturizmi açısından İç Anadolu Bölgesi'ndeki kaplıca ve termal tesislerin mevcut yapısının ve potansiyelinin belirlenmesine yönelik bir araştırma,2013,Karamanoğlu Mehmetbey Üniversitesi Sosyal ve Ekonomik Araştırmalar Dergisi,1445,1309-9132,2147-7833,PAPER,,"Çiçek, R., ve Avderen, S. (2013). Sağlık turizmi açısından İç Anadolu Bölgesi'ndeki kaplıca ve termal tesislerin mevcut yapısının ve potansiyelinin belirlenmesine yönelik bir araştırma. KMÜ Sosyal ve Ekonomik Araştırmalar Dergisi, 15 (25), 25-35."
7348,1250888,20119233,5,1211078,2022,1726,Ertuğrul DÜZGÜN,,,strong_trdizin_id,,no_doi,,TuristRehberlerinin Dijital Turizmdeki Gelişmelere Bakışı,2022,Turizm Akademik Dergisi,1726,1302-5759,2149-1690,PAPER,,"Düzgün, E. (2022). Turist Rehberlerinin Dijital Turizmdeki Gelişmelere Bakışı, Turizm Akademik Dergisi, 9 (1): 193-208."
7389,1319082,23327851,25,182213,2013,377,Ali ERYILMAZ; Tayfun DOĞAN,,,strong_trdizin_id,,no_doi,,İkiBoyutlu Benlik Saygısı ve Öznel İyi Oluş Arasındaki İlişkilerin İncelenmesi,2013,Pamukkale Üniversitesi Eğitim Fakültesi Dergisi,377,1301-0085,1309-0275,PAPER,,"Doğan, T., & Eryılmaz, A. (2013). Benlik Saygısı ve Öznel İyi Oluş Arasındaki İlişkilerin İncelenmesi. Pamukkale Üniversitesi Eğitim Fakültesi Dergisi, 33(33), 107-117."
7561,1308875,22712075,12,74855,2006,534,Selim KILIÇ,,,strong_trdizin_id,,no_doi,,YeniToplumsal ve Ekonomik Arayışlar Sürecinde Sürdürülebilir Kalkınma,2006,Gazi Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi,534,1302-2024,2148-1792,PAPER,,"Kılıç, S. (2006). Yeni Toplumsal ve Ekonomik Arayışlar Sürecinde Sürdürülebilir Kalkınma, Gazi Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi, 8(2), 81-101."
